QUESTION_TEXT,Answer Choice 1,Answer Choice 2,Answer Choice 3,Answer Choice 4,Correct Answer Choice Text
A tree sort is also known as ......... sort.,quick,shell ,heap,selection,heap
.......... sorting is good to use when alphabetizing large list of names.,Merge ,Heap,Radix,Bubble,Radix
The easiest sorting is ........,quick sort,shell sort,heap sort,selection sort ,selection sort 
Which of the following sorting algorithm is of divide and conquer type?,Bubble sort,Insertion sort,Quick sort,Selection sort,Quick sort
Merging k sorted tables into a single sorted table is called ......,k way merging,k th merge,k+1 merge,k-1 merge,k way merging
The function used to modify the way of sorting the keys of records is called ........,Indexing function,Hash function,Addressing function,All of the above,Hash function
"If the number of record to be sorted large and the key is short, then ...... sorting can be efficient.",Merge ,Heap,Radix,Bubble,Radix
The total number of comparisons in a bubble sort is ....,O(n logn),O(2n),O(n2),O(n),O(n logn)
"If the number of record to be sorted large and the key is long, then ...... sorting can be efficient.",Merge,Heap,Quick,Bubble,Quick
The time complexity of heap sort is ....,. O(n),. O(logn),O(n2),O(n logn),O(n logn)
The  Time complexity of selection sort is .......,O(n),O(n2),O(n logn),O(logn),O(n2)
Which of the following sorting algorithm is in-place,Insertion sort,Radix sort,Bucket sort,None,Radix sort
A sorting technique is called stable if it,Takes O(nlogn) times,Maintains the relative order of occurrence of non-distinct elements,Uses divide-and-conquer paradigm,Takes O(n) space,Maintains the relative order of occurrence of non-distinct elements
"The following sorting algorithms maintain two sub-lists, one sorted and one to be sorted ",Selection Sort,Insertion Sort,Merge Sort,both A and B ,both A and B 
Which of the following is example of in-place algorithm?,Bubble Sort,Merge Sort, Insertion Sort,All of the above,Merge Sort
The process of accessing data stored in a tape is similar to manipulating data on a ,stack,queue,list,heap,queue
Red Black tree has -------------------- property:,Root property,Path property,External property,All of the above,All of the above
When insert a node in Red Black tree rotation is perform  when uncle node colour is,Red,Black, Any colour, White,Black
Which if the following is/are the levels of implementation of data structure,Abstract level,Application level,Implementation level,All of the above,All of the above
A binary search tree whose left subtree and right subtree differ in hight by at most 1 unit is called ……,AVL tree,Red-black tree,Lemma tree,None of the above,AVL tree
Which data structure allows deleting data elements from and inserting at rear?,Stacks,Queues,Dequeues,Binary search tree,Queues
"To represent hierarchical relationship between elements, Which data structure is suitable?",Dequeue,Priority,Tree,Graph,Tree
Identify the data structure which allows deletions at both ends of the list but insertion at only one end.,Input restricted dequeue,Output restricted qequeue,Priority queues,Stack,Input restricted dequeue
"A ....... is a data structure that organizes data similar to a line in the supermarket, where the first one in line is the first one out.",Queue linked list,Stacks linked list,Both of them,Neither of them,Queue linked list
