,,,,,,
S.No.,Question,Choice A,Choice B,Choice C,Choice D,Correct Ans
22,Among rotations the following are single and double rotations.,"LL, RL and LR, RR","LL, RR and LR, RL","LR, RR and LL, RL",None of the above,"LL, RR and LR, RL"
23,"A sorting technique which uses the binary tree concept such that label of any node is larger than all the labels in the subtrees, is called",selection sort.,Insertion sort,Heap Sort,Quick Sort,Heap Sort
24,Asymptotic notations are,"Gama,Omega,Theta","Big oh,Omega,Gama","Big oh,Gama,Theta","Omega,Big Oh,Theta","Omega,Big Oh,Theta"
25,To search an element into stack minimum number of operation needed,O(n),O(logn),O(1),not determined,not determined
26,The worst case occur in linear search algorithm when .......,Item is somewhere in the middle of the array,Item is not in the array at all,Item is the last element in the array, Item is the last element in the array or item is not there at all, Item is the last element in the array or item is not there at all
27,The time factor when determining the efficiency of algorithm is measured by,Counting microseconds,Counting the number of key operations ,Counting the number of statements ,Counting the kilobytes of algorithm,Counting the number of key operations 
28,The complexity of sorting algorithm measures the ...... as a function of the number n of items to be sorter.,average time,running time,average-case complexity,best case-complexity,best case-complexity
29,Which stream class is to only write on files ?,ofstream,ifstream,fstream,iostream,ofstream
30,Which among following is used to open a file in binary mode ?, ios:app, ios::out,ios::in,ios::binary,ios::binary
31, The augmented tree is also called as -------------,Extened tree,Advanced tree,Informative tree,Order statistic tree,Order statistic tree
32,Augmenting data structure means------------, dividing data structure into smaller units., adding some extra information,implementing data structure using some suitable programming language,none of these, adding some extra information
33,On occurence of error the fopen will return -------------------,nothing, NULL,EOF,none of these, NULL
34,The value of EOF is ---------,-1,1,0,none of these,-1
35,Finding the location of a given item in a collection of items is called ......,Discovering,Finding,Searching,Mining,Searching
36,Which of the following is an external sorting?,Insertion,Bubble ,Merge,Tree sort,Merge
37,Number of internal nodes in a tournament tree,N+1,N,N-1,Any number of nodes,N-1
38,Which of the following is an internal sorting?,Tape Sort,2-way Merge Sort,Multiway Merge Sort,Heap Sort,Heap Sort
39,Sorting a file F usually refers to sorting F with respect to a particular key called .....,Basic key,Primary key,Starting key,Index key,Primary key
40,The time complexity of worst case in quick sort is ........,O(n), O(logn), O(n2),O(n logn), O(n2)
41, Selection sort first finds the .......... element in the list and put it in the first position.,Middle element, Largest element,Last element,Smallest element,Smallest element
42,Quick sort is also known as ........, merge sort,Tree sort,Shell Sort,partition and exchange sort,partition and exchange sort
43,The operation that combines the element is of A and B in a single sorted list C with n=r+s element is called ....,Inserting,Mixing,Merging ,Sharing,Merging 
44,A tree sort is also known as ......... sort.,Quick,Heap,Shell ,Selection,Heap
45,.......... sorting is good to use when alphabetizing large list of names.,Merge ,Heap,Radix,Bubble,Radix
46,The efficint sorting is ........,Quick,Bubble ,Selection,Insertion,Quick
47,Which of the following sorting algorithm is of divide and conquer type?,Quick,Bubble ,Selection,Insertion,Quick
48,Merging k sorted tables into a single sorted table is called ......, k way merging, k th merge,k+1 merge,k-1 merge, k way merging
49,The function used to modify the way of sorting the keys of records is called ........,Indexing function,Hash function,Addressing function,All of the above,Hash function
50,"If the number of record to be sorted large and the key is short, then ...... sorting can be efficient.",Merge ,Heap,Radix,Bubble,Radix
51,The total number of comparisons in a bubble sort is ..., O(n logn), O(2n),O(n2),O(n),O(n2)
52,The time complexity of heap sort is ....,O(n),O(logn),O(n2), O(n logn), O(n logn)
53,"If the given input array is sorted or nearly sorted, which of the following algorithm gives the best performance?",Insertion,Bubble ,Selection,Quick Sort,Insertion
54,Which of the following sorting algorithms is/are stable,Counting sort,Bucket sort,Radix,All of the above,All of the above
55,A sorting technique is called stable if it,Takes O(nlogn) times,Maintains the relative order of occurrence of non-distinct elements,Uses divide-and-conquer paradigm,Takes O(n) space,Maintains the relative order of occurrence of non-distinct elements
56,Red Black tree has -------------------- property:, Root property,Path property,Red property,All of the above,All of the above
57,When insert a node in Red Black tree rotation is perform  when uncle node color is,Red ,Black,Any of color,White,Black
58,An interval tree which element is considered as a key value in a node,Mid Value,Left Value,Right Value,Any Value,Left Value
59,The Average case occurs in linear search algorithm ..........,when item is somewhere in the middle of the array,when item is not the array at all,when item is the last element in the array,Item is the last element in the array or item is not there at all,when item is somewhere in the middle of the array
60,Which if the following is/are the levels of implementation of data structure,Abstract level, Application level,Implementation level,All of the above,All of the above
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
